"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2026","608.00","599.00","612.00","595.50","1.31M","1.50%"
"05/10/2026","599.00","610.00","628.00","587.00","1.59M","-1.80%"
"05/03/2026","610.00","607.50","617.50","598.00","1.72M","0.66%"
"04/26/2026","606.00","629.00","629.00","606.00","838.24K","-3.66%"
"04/19/2026","629.00","613.00","633.00","611.00","681.13K","3.11%"
"04/12/2026","610.00","617.00","634.00","602.00","1.47M","-1.77%"
"04/05/2026","621.00","632.50","635.00","603.00","1.20M","-1.90%"
"03/29/2026","633.00","615.00","648.00","590.00","1.99M","1.93%"
"03/22/2026","621.00","628.00","629.00","600.00","1.48M","-1.11%"
"03/15/2026","628.00","637.00","639.50","620.50","1.30M","-1.41%"
"03/08/2026","637.00","662.00","662.00","625.00","2.37M","-6.32%"
"03/01/2026","680.00","698.00","704.50","679.00","1.70M","-3.55%"
"02/22/2026","705.00","699.00","713.50","695.00","1.90M","0.86%"
"02/15/2026","699.00","697.00","699.00","690.00","841.10K","1.60%"
"02/08/2026","688.00","704.50","716.50","688.00","2.02M","-1.71%"
"02/01/2026","700.00","700.00","706.50","695.00","1.77M","0.00%"
"01/25/2026","700.00","705.00","725.00","688.00","2.07M","-0.71%"
"01/18/2026","705.00","742.00","754.50","699.00","1.52M","-4.99%"
"01/11/2026","742.00","730.00","757.50","723.00","1.61M","1.64%"
"01/04/2026","730.00","717.00","743.00","711.00","1.89M","1.46%"
"12/28/2025","719.50","700.00","719.50","693.00","601.46K","2.79%"
"12/21/2025","700.00","700.00","712.50","692.50","519.92K","0.00%"
"12/14/2025","700.00","705.00","718.00","695.00","2.65M","0.00%"
"12/07/2025","700.00","709.00","718.00","698.00","1.06M","-1.34%"
"11/30/2025","709.50","742.00","753.00","707.50","1.64M","-4.12%"
"11/23/2025","740.00","728.00","745.00","706.50","2.37M","1.65%"
"11/16/2025","728.00","677.00","729.50","674.00","2.80M","7.53%"
"11/09/2025","677.00","701.50","713.50","675.50","1.65M","-3.56%"
"11/02/2025","702.00","728.00","728.00","701.00","2.49M","-3.70%"
"10/26/2025","729.00","739.00","742.50","728.50","1.27M","-0.95%"
"10/19/2025","736.00","746.00","753.00","731.50","828.87K","-1.34%"
"10/12/2025","746.00","735.00","750.00","730.00","1.10M","1.50%"
"10/05/2025","735.00","745.50","750.00","730.00","1.33M","-1.34%"
"09/28/2025","745.00","732.00","759.50","730.00","1.52M","1.78%"
"09/21/2025","732.00","764.00","764.50","728.00","3.00M","-4.19%"
"09/14/2025","764.00","750.00","765.00","738.50","2.69M","2.28%"
"09/07/2025","747.00","764.50","769.00","742.50","2.84M","-2.16%"
"08/31/2025","763.50","757.00","768.00","748.50","2.26M","1.13%"
"08/24/2025","755.00","784.00","785.00","753.00","2.87M","-2.71%"
"08/17/2025","776.00","800.00","805.00","773.00","1.88M","-2.51%"
"08/10/2025","796.00","795.00","815.00","782.00","10.95M","0.13%"
"08/03/2025","795.00","834.00","849.00","795.00","2.26M","-4.68%"
"07/27/2025","834.00","845.00","845.00","815.00","1.00M","-1.30%"
"07/20/2025","845.00","824.50","848.00","820.00","1.21M","3.11%"
"07/13/2025","819.50","890.00","908.50","816.00","2.37M","-7.87%"
"07/06/2025","889.50","885.50","918.00","870.00","987.06K","0.51%"
"06/29/2025","885.00","880.00","918.50","872.00","1.32M","0.57%"
"06/22/2025","880.00","877.00","892.00","850.00","1.71M","0.23%"
"06/15/2025","878.00","870.00","884.50","858.00","1.30M","0.34%"
"06/08/2025","875.00","849.00","883.50","849.00","2.21M","2.94%"
"06/01/2025","850.00","846.00","862.50","835.00","824.23K","1.80%"
"05/25/2025","835.00","879.00","879.00","835.00","2.04M","-5.01%"
"05/18/2025","879.00","880.00","889.50","850.50","986.85K","0.46%"
"05/11/2025","875.00","888.95","906.41","851.00","1.20M","-0.79%"
"05/04/2025","881.96","885.95","888.95","848.04","990.58K","-0.45%"
"04/27/2025","885.95","852.03","893.94","828.59","2.03M","3.86%"
"04/20/2025","853.03","808.13","862.01","802.15","1.10M","5.97%"
"04/13/2025","805.00","800.50","829.50","785.00","541.40K","0.63%"
"04/06/2025","800.00","750.00","803.50","744.00","4.89M","2.56%"
"03/30/2025","780.00","785.00","797.50","761.00","1.20M","-0.13%"
"03/23/2025","781.00","800.50","804.00","778.00","1.18M","-2.38%"
"03/16/2025","800.00","814.00","829.00","795.00","1.37M","-0.99%"
"03/09/2025","808.00","821.00","839.50","800.50","867.29K","-1.58%"
"03/02/2025","821.00","780.00","831.50","780.00","1.37M","7.32%"
"02/23/2025","765.00","781.00","794.00","765.00","1.89M","-1.92%"
"02/16/2025","780.00","830.00","831.50","772.00","1.52M","-4.88%"
"02/09/2025","820.00","804.00","832.00","780.00","897.56K","2.05%"
"02/02/2025","803.50","800.00","837.00","769.00","2.29M","3.01%"
"01/26/2025","780.00","854.00","854.00","780.00","2.00M","-7.69%"
"01/19/2025","845.00","835.00","868.50","823.00","1.31M","1.20%"
"01/12/2025","835.00","870.00","870.00","818.00","1.64M","-4.02%"
"01/05/2025","870.00","908.00","915.00","870.00","1.36M","-4.19%"
"12/29/2024","908.00","899.00","912.00","882.50","544.18K","1.00%"
"12/22/2024","899.00","883.50","900.00","878.00","862.64K","1.81%"
"12/15/2024","883.00","888.00","900.00","870.50","1.50M","-0.56%"
"12/08/2024","888.00","901.00","910.00","878.00","1.43M","-2.95%"
"12/01/2024","915.00","876.00","918.50","875.00","1.32M","4.57%"
"11/24/2024","875.00","884.00","922.50","871.50","1.50M","-0.91%"
"11/17/2024","883.00","885.00","959.50","878.50","1.17M","0.91%"
"11/10/2024","875.00","916.00","926.50","870.50","1.96M","-4.48%"
"11/03/2024","916.00","941.00","965.00","915.50","1.31M","-2.66%"
"10/27/2024","941.00","963.00","977.00","941.00","777.46K","-2.28%"
"10/20/2024","963.00","969.50","969.50","946.50","624.14K","0.10%"
"10/13/2024","962.00","966.50","990.00","959.00","824.63K","-0.31%"
"10/06/2024","965.00","989.00","1,007.00","962.50","1.30M","-3.02%"
"09/29/2024","995.00","995.00","996.00","956.00","1.38M","-0.10%"
"09/22/2024","996.00","985.00","1,005.00","965.50","2.81M","2.68%"
"09/15/2024","970.00","940.00","994.00","940.00","2.27M","3.19%"
"09/08/2024","940.00","910.50","940.00","901.00","1.84M","3.47%"
"09/01/2024","908.50","895.00","913.00","886.00","1.73M","2.66%"
"08/25/2024","885.00","935.00","956.00","885.00","3.03M","-5.35%"
"08/18/2024","935.00","935.00","945.00","925.00","1.06M","0.48%"
"08/11/2024","930.50","926.50","936.50","905.50","1.55M","0.05%"
"08/04/2024","930.00","890.00","930.00","871.50","1.02M","3.22%"
"07/28/2024","901.00","920.00","925.00","895.00","2.50M","-2.01%"
"07/21/2024","919.50","909.00","928.00","902.50","1.51M","0.93%"
"07/14/2024","911.00","880.00","923.00","878.00","2.19M","3.52%"
"07/07/2024","880.00","851.00","880.00","841.00","1.46M","3.53%"
"06/30/2024","850.00","831.00","853.00","819.50","1.03M","2.35%"
"06/23/2024","830.50","837.00","850.00","807.00","1.79M","-0.66%"
"06/16/2024","836.00","849.00","854.50","832.00","881.82K","0.48%"
"06/09/2024","832.00","841.00","863.00","826.50","940.94K","-0.95%"
"06/02/2024","840.00","871.00","879.50","806.00","3.73M","-3.45%"
"05/26/2024","870.00","895.00","895.00","858.00","3.26M","-2.90%"